Cadastro;Tipo;Cód. Terreno;Bairro - Código;Bairro - Nome;Logradouro - Código;Logradouro - Nome;Quadra;Lote;Número;Cep;Situação Cadastral
1151517;Unidade;251461;12677;BAIRRO CENTRO;45;DOM PEDRO I;195;8;1643;85.960-182;Ativo
1151509;Unidade;1152416;12681;BAIRRO PRIMAVERA;652;LONDRINA;2;16/A;873;85.963-154;Ativo
1151495;Unidade;1103440;12681;BAIRRO PRIMAVERA;652;LONDRINA;2;16/B;865;85.963-154;Ativo
1151487;Unidade;351318;12688;BAIRRO VILA GAUCHA;12;RIO GRANDE DO SUL;CHAC.;327/B/LU.02/Q.003;5670;85.966-182;Ativo
1151479;Unidade;1109456;12693;BAIRRO ANDORINHA;12645;EMILIO ZARNOTT;8;8;6368;85.966-136;Ativo
1151452;Unidade;1090577;12680;BAIRRO HIGIENOPOLIS;387;JUVILINO RIBEIRO;4;15;697;85.963-558;Ativo
1151444;Unidade;1090577;12680;BAIRRO HIGIENOPOLIS;387;JUVILINO RIBEIRO;4;15;703;85.963-558;Ativo
1151436;Unidade;71048;12677;BAIRRO CENTRO;50;PRESIDENTE COSTA E SILVA;115;7;997;85.960-190;Ativo
1151428;Unidade;64068;12682;BAIRRO LIDER;152;BLUMENAU;4;12;190;85.960-047;Ativo
1151410;Unidade;41440;12678;BAIRRO ALVORADA;14899;COLOMBO;5;9;2564;85.963-238;Ativo
1151401;Unidade;1124994;12692;BAIRRO GUAVIRA;678;ANNITA TRENTINI;3;1;932;85.966-292;Ativo
1151398;Unidade;149799;12680;BAIRRO HIGIENOPOLIS;556;ALBANO BORTOLINI;4;14;198;85.963-526;Ativo
1151380;Unidade;217891;12677;BAIRRO CENTRO;44;INDEPENDENCIA;51;01/dez;;85.960-180;Ativo
1151371;Unidade;193607;12686;BAIRRO ANA PAULA;38;TIRADENTES;4;02/C;810;85.960-416;Ativo
1151363;Unidade;1075691;12681;BAIRRO PRIMAVERA;177;CUIABÁ;39;11;5045;85.963-142;Ativo
1151355;Unidade;1075691;12681;BAIRRO PRIMAVERA;177;CUIABÁ;39;11;5051;85.963-142;Ativo
1151347;Unidade;1075691;12681;BAIRRO PRIMAVERA;177;CUIABÁ;39;11;5055;85.963-142;Ativo
1151320;Unidade;104035;12684;BAIRRO SAO FRANCISCO;197;DOS PARDAIS;3;13;331;85.963-012;Ativo
1151312;Unidade;104035;12684;BAIRRO SAO FRANCISCO;197;DOS PARDAIS;3;13;323;85.963-012;Ativo
1151304;Unidade;1124706;12692;BAIRRO GUAVIRA;17950;ELÁRIO ARTHUR WENDPAP;1;7;1029;85.966-290;Ativo
1151290;Unidade;245887;12685;BAIRRO DO LAGO;733;RAUL ERNESTO HACK;2;14;2196;85.960-240;Ativo
1151282;Unidade;319317;12697;BAIRRO MARECHAL;211;DAS MISSOES;2;2;818;85.960-304;Ativo
1151274;Unidade;319317;12697;BAIRRO MARECHAL;211;DAS MISSOES;2;2;824;85.960-304;Ativo
1151266;Unidade;1082795;12693;BAIRRO ANDORINHA;89;02 DE ABRIL;1;11/dez;5059;85.966-156;Ativo
1151258;Unidade;1082795;12693;BAIRRO ANDORINHA;89;02 DE ABRIL;1;11/dez;5051;85.966-156;Ativo
1151240;Unidade;1082795;12693;BAIRRO ANDORINHA;89;02 DE ABRIL;1;11/dez;5045;85.966-156;Ativo
1151231;Unidade;1107100;12681;BAIRRO PRIMAVERA;633;PONTA GROSSA;4;2;1312;85.963-150;Ativo
1151223;Unidade;316741;12685;BAIRRO DO LAGO;6;PASTOR MEIER;3;19;1388;85.960-246;Ativo
1151215;Unidade;120103;7;DISTRITO DE MARGARIDA;38;TIRADENTES;68;5;5111;85.976-011;Ativo
1151207;Unidade;185949;12689;BAIRRO BOA VISTA;11;SANTA CATARINA;4;1;7185;85.966-436;Ativo
1151193;Unidade;272388;12678;BAIRRO ALVORADA;118;ARACAJU;13;9;379;85.963-256;Ativo
1151185;Unidade;219975;12684;BAIRRO SAO FRANCISCO;206;TRÊS PASSOS;6;07/ago;447;85.963-020;Ativo
1151177;Unidade;265853;12677;BAIRRO CENTRO;13;MINAS GERAIS;45;08/A;985;85.960-150;Ativo
1151169;Unidade;1068482;12692;BAIRRO GUAVIRA;682;WILY JULIO WASEN;1;02/B;209;85.966-274;Ativo
1151150;Unidade;232831;12693;BAIRRO ANDORINHA;17;TOCANTINS;8;5;5736;85.966-110;Ativo
1151142;Unidade;244511;12689;BAIRRO BOA VISTA;730;GILBERTO NEYMAR WENDPAP;3;10/11/2012;526;85.966-448;Ativo
1151134;Unidade;106364;12686;BAIRRO ANA PAULA;41;RIO SOLIMOES;2;16;125;85.960-412;Ativo
1151126;Rural;;188;ZONA RURAL;100;RURAL;13;248/D;;85.969-899;Ativo
1151118;Rural;;188;ZONA RURAL;100;RURAL;13;248/C;;85.969-899;Ativo
1151100;Rural;;188;ZONA RURAL;100;RURAL;37;92/92/E;;85.969-899;Ativo
1151096;Rural;;188;ZONA RURAL;100;RURAL;37;92/92/F;;85.969-899;Ativo
1151088;Rural;;188;ZONA RURAL;100;RURAL;18;05/06/07/C;;85.969-899;Ativo
1151070;Rural;;188;ZONA RURAL;100;RURAL;18;05/06/07/B;;85.969-899;Ativo
1151061;Rural;;188;ZONA RURAL;100;RURAL;18;05/06/07/A;;85.969-899;Ativo
1151045;Rural;;188;ZONA RURAL;100;RURAL;CHAC.;47/A;;85.969-899;Ativo
1151037;Rural;;188;ZONA RURAL;100;RURAL;CHAC.;47/B;;85.969-899;Ativo
1151002;Unidade;1103342;12681;BAIRRO PRIMAVERA;735;OTTO FOLLMANN;2;6;902;85.963-158;Ativo
